institutions_2012,2012,2013,2014,2015,2016,2017,2018
Lehigh University,1035593.0,1103449.0,1215926.0,1213207.0,1162711.0,1278120.0,1353116.0
Soka University of America,1035512.0,1117424.0,1249761.0,1221435.0,1161267.0,1239053.0,1275811.0
Wake Forest University,1025069.0,1061638.0,1148026.0,1167400.0,1141212.0,1205323.0,1329255.0
University of Illinois at Urbana-Champaign,996226.387,1050492.385,1289584.273,1308415.086,1284202.922,1534717.167,1578168.669
University of Iowa,981104.0,1094803.0,1251356.0,1263043.0,1259309.0,1387001.0,1500456.0
Carnegie Mellon University,979229.547,1066149.108,1235967.714,1318050.068,1288196.389,1718582.585,1872190.873
Baylor University,964161.044,1061156.64,1151200.304,1165550.0,1153535.0,1231712.0,1310781.0
"Brigham Young University, Provo",957009.708,1053241.027,1470770.0,1581452.0,1571803.0,1720824.0,1974414.0
University of Kentucky,947382.58,1054448.113,1215225.687,1231557.474,1221579.216,1268396.082,1334530.283
Tulane University of Louisiana,946176.0,1031661.0,1169060.0,1209322.0,1162217.0,1297740.0,1383967.0
Berea College,942618.0,1012401.1,1137222.0,1101475.9,1050679.9,1150360.3,1192078.1
Syracuse University,940055.706,1053213.559,1183243.707,1166108.676,1156828.006,1258728.05,1338287.247
Yeshiva University,931914.492,1034254.0,,907060.0,,,
Trinity University,915917.624,1013929.348,1187928.689,1192776.516,1091848.98,1200924.275,1299404.638
Bowdoin College,902364.0,1038640.0,1216030.0,1392760.0,1339981.0,1455909.0,1628165.0
Middlebury College,879690.0,972991.75,1081893.682,1101053.639,1000598.0,1073976.0,1124144.0
Princeton Theological Seminary,866929.628,941109.784,1042190.88,1075590.631,1024237.583,1076534.245,1129412.219
"Saint Louis University, Main Campus",852841.749,956014.05,,,,,
University of Texas Southwestern Medical Center,836413.417,878855.485,988251.189,974260.951,1028207.134,1115839.832,1199508.691
"University of Cincinnati, Main Campus",834928.963,1044197.744,1182039.655,1193540.425,1163276.434,1280295.304,1364778.384
Berry College,821977.154,861106.815,925698.267,887981.093,944411.231,968545.827,985123.513
Vassar College,804912.006,868741.153,974179.926,982970.74,928816.58,1002570.163,1082831.323
University of Tulsa,802455.123,893055.245,1023411.834,1043054.591,975601.0,1053445.0,1114621.0
Juilliard School,787697.806,882012.381,999769.314,999377.376,932734.992,1046080.172,1106640.097
"University of Oklahoma, Norman Campus",784834.0,845635.0,965937.0,1042859.0,999845.0,1104778.0,
"Indiana University, Bloomington",772185.113,835123.313,961053.869,960625.49,991133.951,1081730.475,1154031.988
University of Arkansas,770550.0,819813.727,929693.37,948679.296,898907.868,996019.066,1185714.727
Baylor College of Medicine,751377.844,844260.873,988247.389,1062671.426,1033287.025,1133558.902,1171284.692
Washington State University,737427.587,777643.606,868091.091,885900.496,907827.865,975177.01,1024300.681
University of Louisville,721103.722,757336.265,876825.0,844288.0,738982.0,,
Oberlin College,708238.026,765803.704,866829.551,871964.706,808300.971,879535.245,947148.504
Hamilton College,693919.0,773828.0,927520.0,919578.0,861749.0,954714.0,1012841.0
Santa Clara University,688118.0,760218.0,,,840706.0,905858.0,979248.0
Colgate University,687474.01,760825.4,865882.401,892548.824,821597.248,881302.522,923604.266
University of Miami,678694.294,777946.842,865434.666,887329.315,844642.514,948579.23,1021508.292
Brandeis University,674521.808,766204.934,861152.377,915087.056,866777.826,976887.03,1046386.225
University of Alabama,673605.62,,,,,,
University of Tennessee,665832.771,,,,,,
Carleton College,645654.187,700540.278,792737.205,783456.362,738135.608,828168.145,878493.998
"Rutgers University, New Brunswick",645556.0,703701.0,763561.0,,865867.0,985463.0,1015059.0
College of William and Mary,644233.33,697723.724,797592.276,811216.974,803697.524,874080.692,935543.672
Denison University,644200.581,691739.982,799108.339,812299.603,,,
Bryn Mawr College,641173.0,710168.0,839226.0,867728.0,803898.0,852743.0,897236.0
Lafayette College,640768.818,749031.061,832811.462,809061.387,774729.0,833069.0,870742.0
Cooper Union for the Advancement of Science and Art,640535.544,668545.746,,,777133.93,,
North Carolina State University at Raleigh,635326.0,769404.0,885055.0,983979.0,998600.0,1122932.0,1293743.0
"Indiana University, Purdue University, Indianapolis",634978.972,709877.078,834833.559,825184.438,942121.293,1087531.516,1177983.781
Rochester Institute of Technology,628128.0,669132.0,753951.0,761936.0,750895.0,847211.0,938162.0
Macalester College,625068.0,694311.0,749550.0,777358.0,,,
"University of Missouri, Columbia",624381.837,692852.905,806717.048,871125.65,869565.594,922077.328,1003025.019
"University of California, San Francisco",623548.0,766144.0,912957.0,1426199.0,974708.0,1106873.0,1432799.0
Wesleyan University,616195.0,688643.0,793334.0,838774.0,802204.0,967177.0,1065219.0
Pepperdine University,607953.0,715660.0,790483.0,793188.0,781341.0,860333.0,904142.0
Colby College,599557.0,649992.0,740631.0,745957.0,,,
Bucknell University,599216.0,666563.0,750913.0,,,,851309.0
Icahn School of Medicine at Mount Sinai,594968.0,,,,,,
Mount Holyoke College,594045.153,,,,,,
College of the Holy Cross,589769.388,,726231.559,,,,
